accuracy,loss,val_accuracy,val_loss
0.5038477778434753,1.2215067148208618,0.6679999828338623,0.8991293907165527
0.6201367974281311,0.9817152619361877,0.7210000157356262,0.7821177840232849
0.6710132360458374,0.8787743449211121,0.7333333492279053,0.7280126214027405
0.6969502568244934,0.8136535286903381,0.7553333044052124,0.6754280924797058
0.7189682126045227,0.7543001770973206,0.79666668176651,0.5872135162353516
0.735998272895813,0.7211366891860962,0.7990000247955322,0.5672460794448853
0.7476841807365417,0.6864124536514282,0.7903333306312561,0.5631101131439209
0.7571612000465393,0.6626625657081604,0.7846666574478149,0.6015077233314514
0.7663531303405762,0.6394332647323608,0.8183333277702332,0.49138113856315613
0.7771127223968506,0.6181966066360474,0.8330000042915344,0.4786752462387085
0.7819581031799316,0.6052879691123962,0.8263333439826965,0.49880293011665344
0.7857346534729004,0.5861464142799377,0.8259999752044678,0.4790622293949127
0.7967079877853394,0.5679524540901184,0.8500000238418579,0.43688979744911194
0.8004845380783081,0.5618897080421448,0.8253333568572998,0.49217045307159424
0.8047598600387573,0.5383552312850952,0.8326666951179504,0.4748581051826477
