accuracy,loss,val_accuracy,val_loss,learning_rate
0.6202793121337891,1.0397952795028687,0.35633334517478943,1.6185468435287476,9.999999747378752e-06
0.7999144792556763,0.6226420402526855,0.7896666526794434,0.5885970592498779,9.999999747378752e-06
0.8581302762031555,0.45488497614860535,0.9043333530426025,0.29353925585746765,9.999999747378752e-06
0.8730939030647278,0.394653856754303,0.9143333435058594,0.2560013234615326,9.999999747378752e-06
0.8904802799224854,0.34612566232681274,0.9190000295639038,0.2370026707649231,9.999999747378752e-06
0.905515193939209,0.29610130190849304,0.921999990940094,0.2291709929704666,9.999999747378752e-06
0.9093629717826843,0.2816152572631836,0.9223333597183228,0.21671707928180695,9.999999747378752e-06
0.9157759547233582,0.25540441274642944,0.9286666512489319,0.20811092853546143,9.999999747378752e-06
0.9207638502120972,0.2388586550951004,0.9296666383743286,0.2047979086637497,9.999999747378752e-06
0.9248966574668884,0.22541040182113647,0.9309999942779541,0.20032237470149994,9.999999747378752e-06
0.9309533834457397,0.2076890766620636,0.9340000152587891,0.19574682414531708,9.999999747378752e-06
0.9301695823669434,0.2065131515264511,0.9313333630561829,0.19748522341251373,9.999999747378752e-06
0.9360125660896301,0.18599966168403625,0.9309999942779541,0.2068290412425995,9.999999747378752e-06
0.9412142038345337,0.17669537663459778,0.9333333373069763,0.1992056518793106,9.999999747378752e-06
0.9483397603034973,0.15707936882972717,0.9346666932106018,0.19673390686511993,4.999999873689376e-06
